task_id,suite,scenario,algorithm,repeat,seed,scenario_parameters,avg_estimated_delay,avg_dynamic_operation_reliability,avg_dynamic_accuracy_reliability,avg_total_energy,rejected_or_failed_count,runtime_ms,pareto_point_count,pareto_point_count_mean,pareto_hypervolume,pareto_hypervolume_sum,pareto_hypervolume_std,pareto_postprocess_ms,pareto_hv_version
pareto:dnn_30:e32d64c2ec:proposed:repeat_0:seed_20260719,pareto,dnn_30,proposed,0,20260719,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""dnn_30"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""pareto"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",639.5567650623439,0.15814864071724596,0.8046405036724964,6509.991200833744,0,121259,1641.0,54.7,0.08116503847803207,2.434951154340962,0.051044573081323576,8685.68312501884,4d_v1
pareto:dnn_30:e32d64c2ec:customized:repeat_0:seed_20260719,pareto,dnn_30,customized,0,20260719,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""dnn_30"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""pareto"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",585.4710452733435,0.15857681364205076,0.7878773193626643,6190.967304063439,0,92253,1761.0,58.7,0.08189264598685851,2.456779379605755,0.05919518328692362,2150.631708005676,4d_v1
pareto:dnn_30:e32d64c2ec:random:repeat_0:seed_20260719,pareto,dnn_30,random,0,20260719,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""dnn_30"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""pareto"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",803.3121356934108,0.002492313922607478,0.6649199128123785,12274.17075439873,3,1508,578.0,21.40740740740741,0.0014324044463684316,0.03867492005194765,0.006357059668208461,4447.247666976182,4d_v1
pareto:dnn_30:e32d64c2ec:sa:repeat_0:seed_20260719,pareto,dnn_30,sa,0,20260719,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""dnn_30"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""pareto"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",803.8518527596577,0.10488894891696411,0.8489002699193551,8566.475243494006,1,25103,1829.0,63.06896551724138,0.03676623313988174,1.0662207610565704,0.050116813537889736,5221.748834010214,4d_v1
pareto:dnn_30:e32d64c2ec:proposed:repeat_1:seed_20260720,pareto,dnn_30,proposed,1,20260720,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""dnn_30"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""pareto"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",580.4621289374228,0.12451532367678857,0.732497048888055,6953.3206670992995,0,103887,1696.0,56.53333333333333,0.06724821718511913,2.0174465155535737,0.052407380269028435,5212.561457999982,4d_v1
pareto:dnn_30:e32d64c2ec:customized:repeat_1:seed_20260720,pareto,dnn_30,customized,1,20260720,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""dnn_30"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""pareto"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",522.7589904653419,0.16604198156803507,0.7318534940702449,6009.072345394557,0,95416,1800.0,60.0,0.08884295828729866,2.6652887486189605,0.049785754749987615,1975.412250001682,4d_v1
pareto:dnn_30:e32d64c2ec:random:repeat_1:seed_20260720,pareto,dnn_30,random,1,20260720,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""dnn_30"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""pareto"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",748.1436119222918,0.009348810108976487,0.648986698664946,12568.354406850181,1,1435,493.0,17.0,0.0031363138994261377,0.09095310308335805,0.01331012162739673,9606.768083991483,4d_v1
pareto:dnn_30:e32d64c2ec:sa:repeat_1:seed_20260720,pareto,dnn_30,sa,1,20260720,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""dnn_30"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""pareto"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",741.7702443521895,0.07083954058110832,0.7549223119547175,9921.428025813422,0,26454,2123.0,70.76666666666667,0.023267362068286647,0.6980208620485993,0.04535226692384948,6158.935416984605,4d_v1
pareto:dnn_30:e32d64c2ec:proposed:repeat_2:seed_20260721,pareto,dnn_30,proposed,2,20260721,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""dnn_30"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""pareto"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",521.5885571657176,0.14091456811806877,0.751098980092989,6459.843253238387,0,107759,1697.0,56.56666666666667,0.06888081296852175,2.066424389055653,0.060386306795555386,1977.8923749981914,4d_v1
pareto:dnn_30:e32d64c2ec:customized:repeat_2:seed_20260721,pareto,dnn_30,customized,2,20260721,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""dnn_30"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""pareto"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",445.9688944377268,0.1728194490626768,0.7234918223896156,5935.4969996490645,0,94382,1800.0,60.0,0.09037008697165826,2.7111026091497483,0.0670428624868621,2032.6567080046516,4d_v1
pareto:dnn_30:e32d64c2ec:random:repeat_2:seed_20260721,pareto,dnn_30,random,2,20260721,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""dnn_30"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""pareto"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",745.5062505570148,0.002697741062453433,0.683170705960073,12339.727869350516,5,1466,374.0,14.96,0.0016645969525470726,0.041614923813676825,0.006639195251335863,5023.2470000046305,4d_v1
pareto:dnn_30:e32d64c2ec:sa:repeat_2:seed_20260721,pareto,dnn_30,sa,2,20260721,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""dnn_30"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""pareto"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",761.3388396356949,0.034362272193847604,0.8012206979136762,9887.16074573044,2,24522,1705.0,60.892857142857146,0.013689484496849754,0.38330556591179304,0.041950373676100765,11596.838375000516,4d_v1
pareto:dnn_30:e32d64c2ec:proposed:repeat_3:seed_20260722,pareto,dnn_30,proposed,3,20260722,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""dnn_30"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""pareto"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",637.1146056158907,0.12286598883196918,0.7722564911104708,7203.228594389985,0,116118,1676.0,55.86666666666667,0.06067715798317564,1.8203147394952692,0.059738806854615946,10949.919624981703,4d_v1
pareto:dnn_30:e32d64c2ec:customized:repeat_3:seed_20260722,pareto,dnn_30,customized,3,20260722,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""dnn_30"", ""population_size"": 60, ""preference"": ""adaptive"", ""suite"": ""pareto"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",536.8969773769408,0.18274193269632025,0.7628585905960675,6177.639224393977,0,95140,1800.0,60.0,0.09013424843090737,2.7040274529272206,0.0628709632407715,2023.1202080030926,4d_v1
